,Sample,value,Condition,Replicate
0,no CAT,0.031749999,Dark,1
1,CAT_wt,0.912000002,Dark,1
2,CAT_K136_LOV,0.820649983,Dark,1
3,CAT_K136_GPG_LOV2,0.564300003,Dark,1
4,no CAT,0.013150001,Dark,2
5,CAT_wt,0.914600002,Dark,2
6,CAT_K136_LOV,0.69254999,Dark,2
7,CAT_K136_GPG_LOV2,0.454200016,Dark,2
8,no CAT,0.012700001,Dark,3
9,CAT_wt,0.89335,Dark,3
10,CAT_K136_LOV,0.57810002,Dark,3
11,CAT_K136_GPG_LOV2,0.261599997,Dark,3
12,no CAT,0.018650001,Light,1
13,CAT_wt,0.757950014,Light,1
14,CAT_K136_LOV,0.130099995,Light,1
15,CAT_K136_GPG_LOV2,0.020499999,Light,1
16,no CAT,0.0088,Light,2
17,CAT_wt,0.712899981,Light,2
18,CAT_K136_LOV,0.039399998,Light,2
19,CAT_K136_GPG_LOV2,0.042200001,Light,2
20,no CAT,0.013149999,Light,3
21,CAT_wt,0.68894998,Light,3
22,CAT_K136_LOV,0.018100001,Light,3
23,CAT_K136_GPG_LOV2,0.013449999,Light,3
